,want u want u want u,what we had was real,off the ground,blessyou,wow,talk tonight,leavemealone,the sea,shades of love (feat. the joy),i don't want to fall in love,coast ride,burgs,find my baby,life gets hard,care,the way it goes,opening credits,"rushing, pt. i",fuera de vista (feat. baco exu do blues) (trooko’s versión),polarity,adobe - dj poolboi remix,struggle,falling,café cigarette,don't cry,vamo,deadbeat gospel,cafè,baby,what we never had,moonspell,calling for you,break it,where's your head at,resonance,dynamic,tinsel (me),i can share my love with you,without you,out there,down on my love,fading,first time - otr remix,feelthisway,intro (rachael),a break in the clouds - main mix,one of a kind,my favorite girl,poëte déchu,love type,blind,gc41,see you again,nywtf (feat. mikhail beltran) - edit,dayglow,missing you,never felt,desire (want you),low,one more chance,fade away,tonight it’s u,burden,fknow it,holding on to u,forget that i want,stalling,lose it all (i don't wanna),boundaries,sambaya,stuck on stupid - edit,other side,gemini,find you (feat. denitia),clown from two towns over,too close,like you,omen (feat. lyrah),peace in silence,glide,havanna - bella boo remix,sink,source
danceability,0.605,0.755,0.363,0.709,0.852,0.766,0.68,0.669,0.65,0.743,0.663,0.313,0.662,0.838,0.762,0.825,0.858,0.681,0.783,0.682,0.617,0.756,0.648,0.84,0.844,0.802,0.483,0.845,0.792,0.685,0.675,0.814,0.805,0.61,0.566,0.78,0.751,0.713,0.871,0.632,0.788,0.801,0.525,0.748,0.27,0.754,0.45,0.835,0.686,0.774,0.783,0.749,0.654,0.782,0.419,0.675,0.66,0.58,0.872,0.569,0.74,0.729,0.351,0.821,0.628,0.734,0.776,0.707,0.717,0.682,0.663,0.821,0.747,0.634,0.721,0.678,0.47,0.712,0.575,0.55,0.677,0,0
energy,0.947,0.764,0.768,0.696,0.75,0.965,0.881,0.84,0.801,0.763,0.504,0.22,0.728,0.65,0.708,0.689,0.357,0.567,0.782,0.566,0.71,0.501,0.514,0.498,0.704,0.974,0.804,0.677,0.576,0.743,0.865,0.882,0.829,0.918,0.74,0.46,0.98,0.74,0.688,0.956,0.815,0.895,0.962,0.802,0.449,0.748,0.76,0.641,0.657,0.862,0.749,0.892,0.832,0.686,0.959,0.811,0.782,0.827,0.657,0.759,0.676,0.925,0.798,0.784,0.856,0.871,0.318,0.902,0.925,0.892,0.478,0.44,0.828,0.793,0.551,0.869,0.571,0.759,0.749,0.582,0.671,0,0
key,4,10,9,4,11,8,0,4,8,1,7,9,7,9,10,8,3,9,7,5,10,3,4,5,8,9,0,1,0,9,1,9,9,0,8,1,1,2,7,8,1,11,1,4,0,4,7,11,2,0,5,7,2,9,10,0,4,5,6,1,1,1,9,1,7,1,7,11,4,6,5,2,3,6,11,4,2,5,6,3,1,0,0
loudness,-4.165,-7.423,-9.77,-10.81,-6.247,-5.916,-4.503,-6.466,-5.624,-5.207,-10.141,-18.055,-6.824,-8.951,-12.21,-5.661,-10.205,-7.346,-6.59,-13.815,-9.573,-7.97,-11.875,-9.848,-8.346,-8.578,-7.305,-5.89,-9.947,-7.763,-5.773,-4.836,-3.654,-4.817,-8.614,-12.175,-3.682,-5.287,-9.636,-5.431,-4.116,-5.432,-6.552,-4.087,-13.474,-10.14,-6.197,-7.66,-9.831,-6.528,-10.639,-7.402,-7.841,-8.082,-5.824,-6.966,-7.472,-8.241,-10.948,-7.001,-8.195,-6.968,-7.556,-8.188,-7.337,-6.855,-11.34,-7.393,-5.63,-8.84,-6.67,-10.612,-7.989,-5.723,-13.307,-7.365,-7.227,-5.48,-8.078,-12.967,-9.379,0,0
mode,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
speechiness,0.125,0.0967,0.327,0.0632,0.0631,0.0795,0.0553,0.0409,0.0764,0.0387,0.0528,0.0431,0.0614,0.121,0.0779,0.139,0.0905,0.248,0.179,0.169,0.17,0.14,0.313,0.052,0.0861,0.0539,0.0637,0.0538,0.248,0.0361,0.0326,0.106,0.0735,0.0298,0.063,0.0627,0.0508,0.036,0.201,0.112,0.206,0.0763,0.105,0.116,0.0564,0.221,0.0938,0.285,0.0719,0.0819,0.0556,0.0415,0.035,0.0527,0.043,0.0629,0.0614,0.113,0.1,0.0377,0.066,0.0593,0.0503,0.187,0.0465,0.0598,0.0496,0.125,0.0497,0.0438,0.0397,0.0569,0.033,0.101,0.0472,0.0357,0.114,0.0343,0.174,0.0423,0.0352,0,0
acousticness,0.017,0.132,0.178,0.21,0.0251,0.0178,0.00499,0.00677,0.0257,0.0614,0.505,0.607,0.00205,0.35,0.179,0.00772,0.133,0.523,0.0148,0.57,0.26,0.0738,0.00407,0.612,0.0126,0.000329,0.277,0.839,0.487,0.336,0.317,0.0126,0.00273,6.42e-05,0.0352,0.675,0.0157,0.143,0.631,0.00361,0.243,0.0316,0.00108,0.0136,0.201,0.0257,0.0986,0.0253,0.175,0.0551,0.0842,0.000258,0.0623,0.00258,0.00536,0.00301,0.113,0.0465,0.0594,0.00342,0.102,0.00636,0.00017,0.302,0.111,0.187,0.0878,0.16,0.0124,0.0224,0.85,0.291,0.186,0.25,0.0344,0.0966,0.668,0.00235,0.246,0.342,0.00183,0,0
instrumentalness,7.27e-05,0.0102,0.464,0.598,0.556,0.844,0.0253,0.337,0.00239,0.000289,0.0415,0.495,0.0768,0.116,0.384,0.169,0.691,0.0602,6.73e-06,0.849,0.312,2.14e-05,1.18e-05,0.867,0.445,0.869,0.0478,0.417,0.00325,0.00697,0.111,0.902,0.0149,0.0853,0.849,0.751,0.396,0.878,0.0362,0.599,0.906,0.00894,0.039,0.0208,0.727,0.586,0.000751,0.341,0.747,0.00112,0.898,0.875,0.811,0.786,0.927,0.0413,0.756,0.395,0.733,0.506,0.0191,0.536,0.894,0.229,0.00251,0.558,0.401,0.771,0.00469,0.454,0,0.0552,0.951,0.0207,0.858,0.0876,0.282,0.286,0.000312,0.952,0.81,0,0
valence,0.549,0.363,0.509,0.192,0.672,0.676,0.105,0.777,0.605,0.591,0.126,0.0347,0.585,0.193,0.218,0.361,0.283,0.213,0.805,0.228,0.0675,0.169,0.248,0.727,0.585,0.816,0.104,0.23,0.053,0.15,0.334,0.566,0.123,0.415,0.419,0.0981,0.443,0.116,0.278,0.706,0.37,0.571,0.0973,0.164,0.22,0.127,0.0777,0.521,0.232,0.833,0.191,0.222,0.0399,0.53,0.145,0.271,0.417,0.0701,0.456,0.0335,0.508,0.0945,0.642,0.333,0.792,0.23,0.0359,0.166,0.449,0.961,0.418,0.179,0.259,0.367,0.466,0.63,0.208,0.797,0.357,0.234,0.51,0,0
tempo,136.991,127.041,164.882,136.982,124.981,148.031,174.062,119.011,125.008,134.011,102.942,109.265,94.012,121.934,130.01,128.018,120.051,134.886,89.007,150.015,119.977,119.999,129.889,119.97,124.047,130.006,132.92,130.03,127.066,120.064,139.995,128.024,135.021,127.864,170.098,115.001,130.008,126.04,129.001,140.03,136.162,128.0,154.947,130.021,108.376,125.981,89.904,132.058,120.016,132.024,128.038,134.999,123.525,126.002,127.804,126.023,131.084,133.973,134.084,125.967,129.999,121.987,173.062,132.038,150.012,126.014,129.007,140.03,120.987,123.988,138.249,129.985,123.009,124.937,130.016,129.993,125.117,131.031,139.783,127.005,122.002,0,0
duration_ms,150600,136063,166286,200365,216720,272947,222784,190720,307918,188983,139563,427103,239400,125994,241962,184791,243009,172454,244440,144000,214000,259380,192005,164000,316160,216000,254792,203077,264465,141000,181714,221250,176389,285533,212881,220145,187500,216205,136051,185350,169412,267842,192000,212308,103971,601187,206801,258182,292000,215605,371250,373875,250305,184762,228750,207265,200153,204179,207761,205714,154154,144669,285714,256553,169600,192744,250000,139071,136860,431600,225720,206885,269250,172440,498787,243708,204089,224542,130286,205984,247035,0,0
time_signature,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0
